Question,Clinton,Trump,Johnson,Stein
Should the Death Penalty Be Allowed?,1,1,-1,-1
Should the United States Abide by Its Treaties with Native American Tribes?,1,0,0,1
Should Private Prisons Be Allowed in the United States?,-1,1,1,-1
Should Law Enforcement Be Allowed to Use Racial Profiling?,-1,1,-1,-1
Should Supreme Court Justice Scalia's Replacement Be Chosen by President Obama?,1,-1,1,0
Should the United States Continue the War on Drugs?,-1,0,-1,-1
"Should Churches (Defined as Churches, Temples, Mosques, Synagogues, etc.) Remain Tax-Exempt?",0,1,-1,0
Does Lowering the Corporate Income Tax Rate Create Jobs?,0,1,1,0
Should the Federal Government Continue to Subsidize Oil Companies?,-1,-1,-1,-1
Should Any Federal Taxes Be Increased?,1,-1,0,1
Should There Be a Flat Tax on Income?,-1,0,-1,-1
Should Glass-Steagall Be Reinstated?,-1,1,1,1
Should the US Return to the Gold Standard in Which Coin and Currency Are Backed by Gold?,0,0,1,0
Should Social Security Be Privatized?,-1,0,1,-1
Is the Trans-Pacific Partnership (TPP) Trade Agreement Good for America?,-1,-1,1,-1
Is the Growth of Charter Schools Good for Education in America?,0,1,1,-1
Are the Common Core Standards Good for Education in America?,0,-1,-1,-1
Should K-12 Teachers Get Tenure?,0,-1,-1,0
Should Any Public Colleges or Universities Be Tuition-Free?,1,-1,-1,1
Was the Citizens United Supreme Court Decision Good for America?,-1,-1,1,-1
Should the Presidential Debates Include Third Party Candidates?,0,1,1,1
"Should Felons Who Have Completed Their Sentences (Incarceration, Probation, and Parole) Be Allowed to Vote?",1,0,1,1
Should Voters Be Required to Show Photo Identification in Order to Vote?,-1,0,-1,-1
Should US Election Campaigns Be Publicly Financed?,1,0,-1,1
Should New Fossil Fuel Leases on Federal Land Be Allowed?,0,1,0,-1
Should Fracking Be Allowed?,1,1,1,-1
Should the United States Build Additional Nuclear Power Plants?,0,1,0,-1
Is China an Economic or Military Threat to the United States?,1,1,-1,0
Should the United States Maintain Its Embargo against Cuba?,-1,-1,-1,-1
Is the Nuclear Arms Deal with Iran Good for America?,1,-1,0,1
Should There Be an Independent Palestinian State?,1,0,0,0
Should More Gun Control Laws Be Enacted?,1,-1,-1,1
Should Schools Be Gun-Free Zones?,1,-1,-1,0
Should the Federal Government Study Gun Violence?,0,0,-1,1
Should People on the No-Fly List or the Terror Watch List Be Allowed to Purchase Guns?,-1,-1,1,0
Should Abortion Be Legal?,1,-1,1,1
Should Any Vaccines Be Required for Children?,0,0,1,0
Is Obamacare Good for America?,1,-1,-1,-1
Should Parental Consent Be Required for Pregnant Minors to Have Abortions?,-1,0,1,0
Should Euthanasia or Physician-Assisted Suicide Be Legal?,1,0,1,0
Should Planned Parenthood Receive Federal Funding?,1,-1,1,0
Should All Americans Have the Right (Be Entitled) to Health Care?,1,0,-1,1
Should the Federal Government Use Raids to Enforce Immigration Laws?,-1,1,-1,-1
Should Checking Employee Immigration Status (as in the E-Verify Program) Be Mandatory for All Employers?,0,1,1,0
Should the United States Continue to Build the Fence/Wall along the US-Mexico Border?,0,1,-1,-1
Should Undocumented Immigrants in the United States Be Allowed to Become Legal Residents?,1,-1,1,1
Should Sanctuary Cities Continue to Receive Federal Funding for Law Enforcement?,0,-1,1,0
Should the United States Allow Syrian Refugees into the Country?,1,-1,1,1
Should the Federal Government Guarantee Paid Family and Medical Leave?,1,1,-1,1
Should the Federal Minimum Wage Be Increased?,1,1,-1,1
Do Labor Unions Provide an Overall Benefit to Their Workers in the United States?,1,0,0,1
Should the Minimum Legal Drinking Age Be Lowered from 21 to a Younger Age?,0,0,1,0
Should Marijuana Be a Medical Option?,1,1,1,1
Should Recreational Marijuana Be Legal?,0,0,1,1
Should the United States and Russia Collaborate to Combat Terrorism?,0,1,1,1
Should the United States Continue Its Use of Drone Strikes Abroad?,1,0,-1,-1
Should the United States Send Ground Troops to Fight ISIS?,-1,1,-1,-1
Should the United States Close the Guantanamo Bay Detention Camp?,1,-1,-1,1
Should the US Have Attacked Iraq in 2003?,-1,-1,-1,-1
Should the US Military Budget Be Increased?,0,1,-1,-1
Should the United States Have Mandatory National Service (Military or Civilian)?,-1,0,-1,0
Should the National Security Agency (NSA) Continue to Collect Phone and Email Metadata on US Citizens?,-1,1,-1,-1
"Should Interrogation Techniques That Some Consider Torture, Such as Waterboarding, Be a Legal Option?",-1,1,-1,-1
Should the Veterans Health Administration Be Privatized?,-1,0,1,-1
Should Women Be Allowed to Serve in Military Combat Positions?,1,0,1,0
Should Colleges and Universities Use Affirmative Action for Admissions?,1,1,-1,0
Is the Black Lives Matter Movement Good for America?,1,0,1,1
Is the Criminal Justice System Unfair to Black People?,1,0,1,1
Is Human Activity Primarily Responsible for Global Climate Change?,1,-1,1,1
Should Genetically Modified (GMO) Foods Have Mandatory Labeling?,1,-1,1,1
Should the United States Authorize the Keystone XL Pipeline to Import Tar Sand Oil from Canada?,-1,1,1,-1
Should the United States Transition Away from Fossil Fuels and Towards Renewable Energy?,1,-1,-1,1
Was the US Supreme Court Decision Legalizing Same-Sex Marriage a Good Decision?,1,-1,1,1
Should Religious Liberty Give People the Right to Deny Goods and Services for Gay Marriage?,-1,0,-1,-1
Should Transgender People Be Allowed to Use the Bathroom of Their Choice?,1,0,1,1
